time_ms_,trace1,trace2,trace3,trace4,trace5,trace6,trace7,trace8,trace9,trace10,trace11
2405.5,0.432468249046714,0.39043569784347,0.482284606028337,0.818545015654292,1.33943729834339,2.05492472549195,2.84638209703748,3.68080607647967,4.54107229110607,5.34903133090176,6.10250373024881
2406,0.439940702593958,0.367395632739469,0.485086776108553,0.804222813022075,1.34473028627268,2.05149985094946,2.84077775687705,3.66990874838994,4.56255559505439,5.33346371934501,6.0953426289327
2406.5,0.4128530584852,0.376736199673524,0.480727844872661,0.798307120630508,1.34690975189063,2.03344142154362,2.85634536843381,3.69481692688075,4.53827012102585,5.3440496952036,6.11589187618762
2407,0.417523341952227,0.374556734055577,0.476057561405634,0.801109290710724,1.33881459388112,2.064265292426,2.84171181357045,3.66679522607858,4.56411235621007,5.3200755734062,6.1068626614847
2407.5,0.454262905226174,0.385142709914172,0.474500800249959,0.804222813022075,1.32760591356025,2.07080368927984,2.84669344926862,3.68080607647967,4.5591307205119,5.35121079651971,6.11308970610741
2408,0.427175261117417,0.373311325131037,0.470141869014067,0.790523314852129,1.33227619702728,2.03935711393519,2.86381782198105,3.6758244407815,4.53297713309655,5.35432431883106,6.08724747092319
2408.5,0.43402501020239,0.363970758196983,0.473255391325418,0.78273950907375,1.32636050463571,2.04558415855789,2.83268259886753,3.67239956623902,4.54262905226174,5.34280428627906,6.11277835387627
2409,0.420014159801308,0.371443211744226,0.471075925707472,0.808893096489103,1.34597569519723,2.04620686302016,2.8323712466364,3.6758244407815,4.55414908481374,5.32941614034025,6.08662476646092
2409.5,0.416589285258822,0.371131859513091,0.479793788179256,0.799863881786183,1.3475324563529,2.05149985094946,2.83984370018364,3.68858988225804,4.56411235621007,5.34373834297247,6.10748536594697
2410,0.434959066895795,0.374868086286713,0.47761432256131,0.799552529555048,1.32885132248479,2.04153657955314,2.84856156265543,3.67271091847015,4.54729933572877,5.33813400281203,6.10219237801768
2410.5,0.43527041912693,0.387633527763254,0.475434856943364,0.792702780470075,1.33165349256501,2.06115177011465,2.84762750596202,3.68142878094194,4.54262905226174,5.32785937918457,6.10655130925357
2411,0.433090953508984,0.370820507281956,0.47761432256131,0.794259541625751,1.34566434296609,2.04433874963335,2.86350646974991,3.69139205233826,4.53359983755882,5.3493426831329,6.09814479901292
2411.5,0.447101803910066,0.392926515692551,0.478859731485851,0.8026660518664,1.34410758181041,2.03530953493043,2.85074102827337,3.67146550954561,4.54013823441266,5.3387567072743,6.10188102578654
2412,0.428420670041957,0.367706984970604,0.468896460089526,0.782428156842615,1.34597569519723,2.03811170501065,2.8491842671177,3.68703312110237,4.54636527903536,5.33097290149593,6.10343778694222
2412.5,0.414409819640876,0.367395632739469,0.471698630169742,0.812006618800454,1.34286217288587,2.04278198847768,2.85416590281586,3.65122761452183,4.54356310895515,5.33346371934501,6.09067234546568
2413,0.431534192353309,0.38078377867828,0.48913435511331,0.800175234017319,1.34317352511701,2.05149985094946,2.8491842671177,3.67395632739469,4.5581966638185,5.34809727420836,6.10966483156492
2413.5,0.437449884744876,0.392926515692551,0.484464071646283,0.816054197805211,1.34379622957928,2.04589551078903,2.85478860727813,3.69637368803642,4.53920417771926,5.33657724165636,6.11122159272059
2414,0.424061738806065,0.370509155050821,0.476057561405634,0.799863881786183,1.33352160595182,2.04060252285973,2.8491842671177,3.67738120193718,4.52332521393136,5.34155887735452,6.12336432973487
2414.5,0.416589285258822,0.378604313060334,0.481350549334932,0.795816302781427,1.32947402694706,2.041225227322,2.87004486660375,3.68609906440896,4.55352638035147,5.33221831042047,6.112155649414
2415,0.437138532513741,0.384208653220767,0.458621836462066,0.800175234017319,1.33881459388112,2.02845978584546,2.85136373273564,3.6748903840881,4.54294040449288,5.33097290149593,6.10094696909314
2415.5,0.437761236976012,0.366150223814929,0.479171083716986,0.794570893856886,1.34379622957928,2.02596896799638,2.85385455058472,3.68423095102215,4.54636527903536,5.34373834297247,6.11091024048946
2416,0.422816329881525,0.368952393895145,0.477925674792445,0.810449857644778,1.35313679651333,2.05087714648719,2.83953234795251,3.66461576046064,4.55352638035147,5.35307890990652,6.10219237801768
2416.5,0.432779601277849,0.392615163461416,0.472009982400877,0.799241177323913,1.33103078810274,2.03468683046816,2.85727942512721,3.66243629484269,4.5476106879599,5.34249293404793,6.08008636960708
2417,0.425618499961741,0.367706984970604,0.461112654311147,0.802043347404129,1.34722110412177,2.04371604517108,2.85229778942905,3.66243629484269,4.53453389425223,5.34685186528382,6.10281508247995
2417.5,0.442120168211904,0.370820507281956,0.484152719415148,0.779003282300129,1.33570107156977,2.04278198847768,2.85509995950926,3.67924931532399,4.54418581341742,5.34280428627906,6.07167985936643
2418,0.435893123589201,0.387010823300983,0.470764573476337,0.796439007243697,1.34410758181041,2.03966846616632,2.85665672066494,3.65963412476248,4.56131018612985,5.34685186528382,6.08818152761659
2418.5,0.426241204424011,0.366461576046064,0.494115990811473,0.81356337995613,1.33383295818295,2.02690302468978,2.85977024297629,3.69450557464961,4.54792204019104,5.34498375189701,6.08133177853162
2419,0.43402501020239,0.371754563975361,0.476057561405634,0.809204448720238,1.35095733089539,2.04153657955314,2.83953234795251,3.67053145285221,4.56255559505439,5.34685186528382,6.08413394861184
2419.5,0.41223035402293,0.372377268437632,0.474812152481094,0.798929825092778,1.33725783272544,2.06052906565238,2.84638209703748,3.67675849747491,4.5529036758892,5.34155887735452,6.10032426463087
2420,0.421570920956984,0.373622677362172,0.465782937778175,0.795504950550291,1.34473028627268,2.0244122068407,2.83704153010343,3.66617252161631,4.55726260712509,5.33813400281203,6.09658803785724
2420.5,0.442742872674174,0.379849721984875,0.487577593957635,0.784607622460561,1.3360124238009,2.02565761576524,2.85229778942905,3.67146550954561,4.53858147325699,5.3431156385102,6.08631341422978
2421,0.425618499961741,0.376736199673524,0.482595958259472,0.790834667083264,1.34379622957928,2.03375277377476,2.84077775687705,3.67769255416831,4.53048631524747,5.34622916082155,6.10001291239973
2421.5,0.448658565065742,0.375490790748983,0.466405642240445,0.804222813022075,1.33850324164998,2.04714091971357,2.84575939257521,3.68298554209761,4.54792204019104,5.3378226505809,6.07448202944665
2422,0.418146046414498,0.393237867923686,0.493181934118067,0.800175234017319,1.34473028627268,2.04620686302016,2.84949561934883,3.66212494261156,4.54013823441266,5.35214485321312,6.08880423207886
2422.5,0.432156896815579,0.374868086286713,0.463603472160229,0.789589258158724,1.3465983996595,2.04060252285973,2.83890964349024,3.67956066755512,4.55601719820055,5.33221831042047,6.0953426289327
2423,0.432468249046714,0.382651892065091,0.491002468500121,0.799241177323913,1.35780707998036,2.04465010186449,2.86381782198105,3.66274764707383,4.53764741656358,5.33221831042047,6.08195448299389
2423.5,0.427486613348552,0.383585948758497,0.469830516782931,0.794259541625751,1.31017018861668,2.02565761576524,2.83828693902797,3.6758244407815,4.54325175672401,5.33906805950544,6.08039772183822
