Group,param,value
Mgat1KO,9,72.59790784874986
Mgat1KO,9,60.88881631553243
Mgat1KO,9,100.87875097250212
Mgat1KO,9,65.80302750939876
Mgat1KO,9,102.35659381120767
Mgat1KO,9,89.57365710369776
Mgat1KO,9,410.44999070225623
Mgat1KO,9,619.3680308696074
Mgat1KO,9,63.80371178290423
Mgat1KO,9,79.36382705320739
Mgat1KO,9,327.07543186372396
Mgat1KO,9,198.8058097422192
Mgat1KO,9,178.01459373934523
Mgat1KO,9,365.13467042239034
Mgat1KO,9,92.15053363006423
Mgat1KO,9,44.291295574562916
Mgat1KO,9,327.9337081866171
Mgat1KO,9,65.47223226501643
Mgat1KO,9,501.9458632057675
Mgat1KO,9,45.04690249344981
Mgat1KO,9,66.67518832900308
Mgat1KO,9,48.081884446986514
Mgat1KO,9,59.20198526944543
Mgat1KO,9,47.336620205275864
WT,11,0.6896497463139731
WT,11,0.3821386505033145
WT,11,0.04538258145687666
WT,11,0.7745718958069856
WT,11,0.49926756919119536
WT,11,0.4197829590645415
WT,11,0.7542239579033393
WT,11,0.9304849327892122
WT,11,0.3600387678285056
WT,11,0.5883704439531877
WT,11,0.8801334180192968
WT,11,0.36722994755547106
WT,11,0.490583535487367
WT,11,0.7477370455821031
WT,11,0.9961688385888834
WT,11,0.5606361104238347
WT,11,0.3025488726314491
WT,11,0.5907774112571049
WT,11,0.45631966780965816
WT,11,0.31440018683118126
WT,11,0.9762913846952919
WT,11,0.33381603235001556
WT,11,0.5397796458839402
WT,11,0.586432841995461
WT,11,0.5747822145190082
WT,11,0.6346808905487633
WT,11,0.06449381902202676
WT,11,0.7296969850044086
WT,11,0.6756549317785229
WT,11,0.5439230293479477
WT,11,0.5858040092464978
WT,11,0.8041158452653351
WT,11,0.16164384421797148
WT,11,0.538992947664165
Mgat1KO,11,0.6700027102200304
Mgat1KO,11,0.2283260080209274
Mgat1KO,11,0.3964587788498525
Mgat1KO,11,0.009683095883470471
Mgat1KO,11,0.4389443278041581
Mgat1KO,11,0.2030640768387451
Mgat1KO,11,0.7359572328839653
Mgat1KO,11,0.48204669818030066
Mgat1KO,11,0.8948956833054026
Mgat1KO,11,0.1396115034892236
Mgat1KO,11,0.7960858641487665
Mgat1KO,11,0.8779978228634423
Mgat1KO,11,0.435604392227729
Mgat1KO,11,0.266439577025753
Mgat1KO,11,0.2712333612892838
Mgat1KO,11,0.5302761332692917
Mgat1KO,11,0.41064223007284917
Mgat1KO,11,0.25115880771452614
Mgat1KO,11,0.21860993266467174
Mgat1KO,11,0.37227839391529066
Mgat1KO,11,0.03367278378766397
Mgat1KO,11,0.9285968249945593
Mgat1KO,11,0.34080245249205865
Mgat1KO,11,0.6105520266056818
Mgat1KO,11,0.2864553160293788
Mgat1KO,11,0.9433441324633722
Mgat1KO,11,0.5126066453893731
Mgat1KO,11,0.9323719681830112
Mgat1KO,11,0.2804110434897298
Mgat1KO,11,0.499093832971031
Mgat1KO,11,0.12353008332546163
Mgat1KO,11,0.466089566886049
Mgat1KO,11,0.2426494545570868
WT,12,0.47634611616270534
WT,12,0.3495673070804515
WT,12,0.378165948669072
WT,12,0.08922869750370283
WT,12,0.3940329616470532
WT,12,0.650352950880396
WT,12,0.10476814233801082
WT,12,0.43203867309524396
WT,12,0.4475017791254255
WT,12,0.2498040183970791
WT,12,0.06905169959922874
WT,12,0.09736381654620366
WT,12,0.45154452688959085
WT,12,0.12787020236289143
WT,12,0.16202815051887037
WT,12,0.2336616092439016
WT,12,0.013381429298816874
WT,12,0.12544974250957705
WT,12,0.23345237563022156
WT,12,0.30151042420241725
WT,12,0.2575994065843328
WT,12,0.14224651471689226
WT,12,0.4479272729527124
WT,12,0.41332361198198153
WT,12,0.2407682869156523
WT,12,0.14410091035870173
WT,12,0.006489709171362383
WT,12,0.2370913941796059
WT,12,0.2812456531490207
WT,12,0.33227170407539375
WT,12,0.35266487908789973
WT,12,0.36716488371700134
WT,12,0.10802155610250895
WT,12,0.2510428457277248
Mgat1KO,12,0.07790155128313496
Mgat1KO,12,0.051614021619987516
Mgat1KO,12,0.23172543034391602
Mgat1KO,12,0.4132971085689718
Mgat1KO,12,0.13432121533197544
Mgat1KO,12,0.6784139549354312
Mgat1KO,12,0.17612076207633756
Mgat1KO,12,0.15559038176791476
Mgat1KO,12,0.3984082865064958
Mgat1KO,12,0.4410184532403279
Mgat1KO,12,0.0671195440552121
Mgat1KO,12,0.00044536292381685297
Mgat1KO,12,0.06103201842453698
Mgat1KO,12,0.12173392795719186
Mgat1KO,12,0.2094289270289613
Mgat1KO,12,0.06659922624581796
Mgat1KO,12,0.10543830835288127
Mgat1KO,12,0.2130701481856378
Mgat1KO,12,0.06709008114754024
Mgat1KO,12,0.044820741914073335
Mgat1KO,12,0.7630654691841032
Mgat1KO,12,0.06615798170219152
Mgat1KO,12,0.1276239618112224
Mgat1KO,12,0.05926461214287133
Mgat1KO,12,0.5176840111158987
Mgat1KO,12,0.04838441663198489
Mgat1KO,12,0.14917534027509213
Mgat1KO,12,0.021196930650181668
Mgat1KO,12,0.7858565781477038
Mgat1KO,12,0.06924965742222378
Mgat1KO,12,0.9956845548288312
Mgat1KO,12,0.3000643828790139
Mgat1KO,12,0.26490036987605875
WT,13,0.68537173870291
WT,13,0.21037672836253846
WT,13,0.16878083251887
WT,13,0.33276496946924206
WT,13,0.2034865289710277
WT,13,0.010661959541124116
WT,13,0.805674302734575
WT,13,0.5421776598696271
WT,13,0.25260307620879435
WT,13,0.2923359015013055
WT,13,0.29908943132486526
WT,13,0.2217463243647542
WT,13,0.45518565145137063
WT,13,0.7628344634134746
WT,13,0.09688798876572745
WT,13,0.2780806825193157
WT,13,0.308522137528879
WT,13,0.2948709392784022
WT,13,0.20795996896499247
WT,13,0.43311166907295545
WT,13,0.4380169916486461
WT,13,0.48116021061900816
WT,13,0.19686005993799607
WT,13,0.5421746854285814
WT,13,0.41855436262451107
WT,13,0.22606237786874112
WT,13,0.13775816967865886
WT,13,0.3900984434923776
WT,13,0.3553048420156707
WT,13,0.6339389585369547
WT,13,0.3371719588302306
WT,13,0.5585519586285959
WT,13,0.19563293466811207
WT,13,0.24447108846880927
Mgat1KO,13,0.17908246293495284
Mgat1KO,13,0.12163793818588976
Mgat1KO,13,0.2574773024050169
Mgat1KO,13,0.2445464411285516
Mgat1KO,13,0.0084719088462574
Mgat1KO,13,0.25564498533453234
Mgat1KO,13,0.36334782392750653
Mgat1KO,13,0.1385737989538711
Mgat1KO,13,0.790305837218528
Mgat1KO,13,0.43084691925373636
Mgat1KO,13,0.8274050420045356
Mgat1KO,13,0.25064712590475263
Mgat1KO,13,0.0818962844392416
Mgat1KO,13,0.0412895923093079
Mgat1KO,13,0.06956246116292816
Mgat1KO,13,0.04498430561568521
Mgat1KO,13,0.07138470680347454
Mgat1KO,13,0.05131800818389552
Mgat1KO,13,0.0735090312854563
Mgat1KO,13,0.025486813292013376
Mgat1KO,13,0.051842677012258954
Mgat1KO,13,0.6655999763483242
Mgat1KO,13,0.06831006881287308
Mgat1KO,13,0.08875154929596975
Mgat1KO,13,0.07066466298235134
Mgat1KO,13,0.053494587259404286
Mgat1KO,13,0.08651180764087354
Mgat1KO,13,0.47685212823376316
Mgat1KO,13,0.024685868917766713
Mgat1KO,13,0.06899496116489501
Mgat1KO,13,0.24966504960560967
Mgat1KO,13,0.2670740231778023
Mgat1KO,13,0.08767149429056495
